stock_location_name,release_location_rmis_basin,hatchery_location_name,release_location_name,run,number_of_broodyears,year_range,total_recoveries
DESCHUTES X HOOD CNL,SKDO,ENETAI HATCHERY,ENETAI CR    16.0217,Fall,1,1985-1985,911
DESCHUTES+MCALLISTER,NISQ,MCALLISTER HATCHERY,MCALLISTER CR11.0324,Fall,1,1991-1991,20
DUNGENESS R  18.0018,ELDU,DUNGENESS HATCHERY,DUNGENESS R  18.0018,Spring,17,1973-2020,740
DUNGENESS R  18.0018,ELDU,DUNGENESS HATCHERY,GRAY WOLF R  18.0048,Spring,1,1999-1999,16
DUNGENESS R  18.0018,ELDU,GRAY WOLF R ACCL PD,GRAY WOLF R  18.0048,Spring,14,2006-2020,793
DUNGENESS R  18.0018,ELDU,HURD CR HATCHERY,DUNGENESS R  18.0018,Spring,3,2007-2017,126
DUNGENESS R  18.0018,ELDU,HURD CR HATCHERY,HURD CR      18.0028,Spring,10,2005-2020,232
DUNGENESS R  18.0018,ELDU,SOLDUC HATCHERY,ELWHA R      18.0272,Spring,1,1971-1971,20
DUNGENESS R  18.0018,ELDU,UPR DUNGENESS ACC PD,DUNGENESS R  18.0018,Spring,10,2011-2020,492
DUNGENESS R  18.0018,ELDU,NA,DUNGENESS R  18.0018,Spring,6,1996-2004,130
DUNGENESS R  18.0018,ELDU,NA,GRAY WOLF R  18.0048,Spring,9,1995-2007,705
DUNGENESS R  18.0018,ELDU,NA,HURD CR      18.0028,Spring,5,1997-2004,664
DUNGENESS R  18.0018,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Spring,6,1971-1992,358
ELWHA R      18.0272,ELDU,DUNGENESS HATCHERY,ELWHA R      18.0272,Fall,3,1971-1973,944
ELWHA R      18.0272,ELDU,ELWHA HATCHERY,ELWHA R      18.0272,Fall,32,1976-2021,6482
ELWHA R      18.0272,ELDU,HURD CR HATCHERY,ELWHA R      18.0272,Fall,1,1992-1992,189
ELWHA R      18.0272,ELDU,LOWER ELWHA HATCHERY,ELWHA R      18.0272,Fall,6,1982-1991,340
ELWHA R      18.0272,ELDU,LOWER ELWHA HATCHERY,LOWER ELWHA HATCHERY,Fall,1,1994-1994,2
ELWHA R      18.0272,ELDU,MORSE CREEK HATCHERY,MORSE CR     18.0185,Fall,6,2008-2013,481
ELWHA R      18.0272,ELDU,SOLDUC HATCHERY,ELWHA R      18.0272,Fall,1,1971-1971,16
ELWHA R      18.0272,ELDU,SOLDUC HATCHERY,MORSE CR     18.0185,Fall,2,2003-2004,16
FINCH CR     16.0222,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,2,1972-1973,2220
FINCH CR     16.0222,EKPS,SQUAXIN ISLAND PENS,PEALE PASS @ SS PENS,Fall,1,1971-1971,130
FINCH CR     16.0222,ELDU,DUNGENESS HATCHERY,DUNGENESS R  18.0018,Fall,1,1972-1972,10
FINCH CR     16.0222,LUDA,QUILCENE NFH,BIG QUILCENE 17.0012,Spring,1,1979-1979,1
FINCH CR     16.0222,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,1,1991-1991,84
FINCH CR     16.0222,SKDO,DUNGENESS HATCHERY,HAMMA HAMMA  16.0251,Fall,1,1972-1972,3
FINCH CR     16.0222,SKDO,ENETAI HATCHERY,ENETAI CR    16.0217,Fall,4,1986-1989,875
FINCH CR     16.0222,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,1,1973-1973,18
FINCH CR     16.0222,SKDO,HOOD CANAL MARINA NP,HOOD CANAL MARINA NP,Fall,2,1996-1997,9
FINCH CR     16.0222,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,30,1971-2014,14031
FINCH CR     16.0222,SKDO,HOODSPORT HATCHERY,RICKS PD (LLTK),Fall,1,1995-1995,106
FINCH CR     16.0222,SKDO,LONGLVKINGS-LILLIWAP,SKOKOMISH R  16.0001,Fall,1,1995-1995,173
FINCH CR     16.0222,SKDO,MCKERNAN HATCHERY,WEAVER CR    16.0006,Fall,1,1978-1978,13
FINCH CR     16.0222,SKDO,PLEASANT HARBOR NP,PLEASANT HRBR MAR NP,Fall,2,1996-1997,13
FINCH CR     16.0222,SKDO,SUND ROCK NET PENS,HOOD CANAL T 16.0218,Fall,1,1996-1996,202
FINCH CR     16.0222,SKDO,SUND ROCK NET PENS,SUND CR      16.0226,Fall,1,1990-1990,14
FINCH CR     16.0222,SKDO,SUND ROCK NET PENS,SUND ROCK NET PENS,Fall,3,1989-1997,589
FINCH+ADAMS+DESCHUTE,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,1,1990-1990,17
FINCH+ADAMS+DESCHUTE,WAGNG,GEORGE ADAMS HATCHERY,CAPITOL LK + PURDY C,Fall,1,1980-1980,122
G.ADAMS/FINCH/MCKERN,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,1,1988-1988,82
GARRISON SPRINGS STK,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,3,1987-1990,425
GEO.ADAMS + FINCH CR,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,1,1993-1993,72
GEO.ADAMS + HOOD CNL,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,2,1974-1993,687
GEORGE ADAMS (PURDY),SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,26,1972-2015,56031
GEORGE ADAMS (PURDY),SKDO,GEORGE ADAMS HATCHERY,RICKS PD (LLTK),Fall,1,1997-1997,36
GEORGE ADAMS (PURDY),SKDO,GLENN AYR NET PENS,SUND ROCK NET PENS,Fall,1,1991-1991,12
GEORGE ADAMS (PURDY),SKDO,HOOD CANAL MARINA NP,SUND ROCK NET PENS,Fall,1,1991-1991,4
GEORGE ADAMS (PURDY),SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,3,1972-2015,2059
GEORGE ADAMS (PURDY),SKDO,HOODSPORT MARINA NP,SUND ROCK NET PENS,Fall,1,1991-1991,12
GEORGE ADAMS (PURDY),SKDO,PLEASANT HARBOR NP,PLEASANT HRBR MAR NP,Fall,1,1991-1991,7
GEORGE ADAMS (PURDY),SKDO,RFEG 6 HOOD CANAL,HAMMA HAMMA  16.0251,Fall,1,2004-2004,60
GEORGE ADAMS (PURDY),SKDO,RFEG 6 HOOD CANAL,JOHN CR      16.0253,Fall,9,2005-2014,1483
GEORGE ADAMS (PURDY),SKDO,RICKS PD (LLTK),SKOKOMISH R  16.0001,Fall,5,2002-2006,527
GEORGE ADAMS (PURDY),SKDO,SUND ROCK NET PENS,SUND ROCK NET PENS,Fall,3,1991-1995,893
GEORGE ADAMS (PURDY),WKIT,LITTLE BOSTON CR HAT,LTL BOSTON C 15.0350,Fall,1,1996-1996,32
GLENWOOD SPRINGS,SJUA,GLENWOOD SPRINGS,EAST SOUND BAY (SAN),Fall,18,1983-2021,2528
GLENWOOD SPRINGS,SJUA,GLENWOOD SPRINGS,ORCAS IS TRB 02.0065,Fall,1,1985-1985,178
GLENWOOD SPRINGS,SJUA,GLENWOOD SPRINGS,ORCAS IS TRB 02.0065,Summer,1,1990-1990,18
GREEN R + ISSAQUAH,CHAM,GARRISON HATCHERY,CHAMBERS CR  12.0007,Fall,1,1980-1980,5
GREEN R + ISSAQUAH,LAKW,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,Fall,2,1978-1987,432
GREEN R + ISSAQUAH,SKDO,GARRISON HATCHERY,HUNTER CR    16.0007,Fall,1,1980-1980,2
GREEN R + SKAGIT R,BESA,SAMISH HATCHERY,FRIDAY CR    03.0017,Fall,2,1971-1973,381
GREEN R + SKAGIT R,PUYA,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,Fall,1,1973-1973,251
GREEN R + SKAGIT R,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,1,1973-1973,22
GREEN R + SKAGIT R,SNOH,WALLACE R HATCHERY,WALLACE R    07.0940,Fall,1,1973-1973,86
GREEN R + SKAGIT R,UPSK,MARBLEMOUNT HATCHERY,CLARK CR     03.1421,Fall,1,1971-1971,980
GREEN R +TULALIP BAY,SNOH,BERNIE GOBIN HATCH,TULALIP CR   07.0001,Fall,1,1987-1987,158
GREEN R X WHITE R,DUWA,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,NA,1,1971-1971,101
GREEN R X WHITE R,LAKW,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,NA,1,1972-1972,9
GROVERS CR   15.0299,EKPN,GORST CR REAR.POND-1,GORST CR     15.0216,Fall,2,1995-1996,17
GROVERS CR   15.0299,EKPN,GORST CR REARING PND,GORST CR     15.0216,Fall,12,1997-2018,5647
GROVERS CR   15.0299,EKPN,GORST CR REARING PND,GORST CR REAR.POND-1,Fall,2,2020-2021,326
GROVERS CR   15.0299,EKPN,GROVERS CR HATCHERY,GROVERS CR   15.0299,Fall,25,1982-2019,34324
GROVERS CR   15.0299,EKPN,GROVERS CR HATCHERY,GROVERS CR HATCHERY,Fall,19,1998-2021,53508
GROVERS CR   15.0299,EKPN,WEBSTER'S HATCHERY,DOGFISH CR   15.0285,Fall,1,1997-1997,1
GROVERS CR   15.0299,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,1,1995-1995,2
HAMMA HAMMA  16.0251,SKDO,RFEG 6 HOOD CANAL,JOHN CR      16.0253,Fall,1,2013-2013,115
HAMMA HAMMA  16.0251,SKDO,NA,JOHN CR      16.0253,Fall,1,2013-2013,38
HOH R        20.0422,WAGNG,NA,WASHINGTON - GENERAL,Fall,1,1976-1976,2
HOH X GREEN,DUWA,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,Fall,2,1971-1972,174
HOKO R       19.0148,LYHO,HOKO FALLS HATCHERY,HOKO R       19.0148,Fall,35,1985-2021,8158
HOKO R       19.0148,LYHO,HOKO FALLS HATCHERY,HOKO R & LITTLE HOKO,Fall,1,1999-1999,10
HOKO R       19.0148,LYHO,HOKO FALLS HATCHERY,HOKO R @ RM 10,Fall,1,2007-2007,1174
HOKO R       19.0148,LYHO,HOKO FALLS HATCHERY,LITTLE HOKO R19.0149,Fall,1,2002-2002,6
HOOD CANAL + GREEN R,DES,CAPITOL LK REARING,CAPITOL LK (THUR),Fall,1,1978-1978,55
HOOD CANAL MIXED,SKDO,GEORGE ADAMS HATCHERY,PURDY CR     16.0005,Fall,2,1987-1989,883
HOOD CANAL X ELWHA,LYHO,SOLDUC HATCHERY,HOKO R       19.0148,Fall,1,1971-1971,7
HOOD CANAL X ELWHA,LYHO,SOLDUC HATCHERY,PYSHT R      19.0113,Fall,1,1971-1971,16
HOOD CANAL X ELWHA,LYHO,SOLDUC HATCHERY,SALT CR      19.0007,Fall,1,1971-1971,17
HOOD CANAL X WHITE,DES,CAPITOL LK REARING,CAPITOL LK (THUR),NA,1,1972-1972,147
HOOD CANAL X WHITE,LYHO,SOLDUC HATCHERY,W JUAN DE FUCA STRMS,NA,1,1972-1972,18
HOOD CANAL X WHITE,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,NA,1,1972-1972,182
HOODSPORT HATCHERY,SKDO,HOODSPORT HATCHERY,FINCH CR     16.0222,Fall,6,2016-2021,2094
ISSAQUAH CR  08.0178,LAKW,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,Fall,15,1972-2021,10585
ISSAQUAH CR  08.0178,LAKW,ISSAQUAH HATCHERY,LK WASHINGTON (KING),Fall,2,2015-2016,38
ISSAQUAH CR  08.0178,LAKW,ISSAQUAH HATCHERY,PORTAGE BAY/SHIP CNL,Fall,3,2015-2017,167
ISSAQUAH CR  08.0178,LAKW,ISSAQUAH HATCHERY,SAMMAMISH R  08.0057,Fall,1,2017-2017,9
ISSAQUAH CR  08.0178,PUYA,VOIGHTS CR HATCHERY,VOIGHT CR    10.0414,Fall,1,1971-1971,52
ISSAQUAH X RIVERS IN,DUWA,SOOS CREEK HATCHERY,BIG SOOS CR  09.0072,Fall,1,1971-1971,10
ISSAQUAH X RIVERS IN,EKPS,MINTER CR HATCHERY,MINTER CR    15.0048,Fall,2,1972-1973,6
ISSAQUAH X RIVERS IN,LAKW,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,Fall,2,1971-1972,43
ISSAQUAH X WHITE R,LAKW,ISSAQUAH HATCHERY,ISSAQUAH CR  08.0178,NA,1,1972-1972,17
ISSAQUAH X WHITE R,LYHO,SOLDUC HATCHERY,HOKO R       19.0148,NA,1,1971-1971,5
ISSAQUAH X WHITE R,LYHO,SOLDUC HATCHERY,PYSHT R      19.0113,NA,1,1971-1971,7
ISSAQUAH X WHITE R,LYHO,SOLDUC HATCHERY,SALT CR      19.0007,NA,1,1971-1971,7
KALAMA C+GREEN+MCALL,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,1,1987-1987,42
KALAMA CR    11.0017,NISQ,CLEAR CREEK HATCHERY,CLEAR CR    11.0013C,Fall,1,1990-1990,613
KALAMA CR    11.0017,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,27,1984-2020,9958
KALAMA CR & GREEN R,NISQ,KALAMA CR HATCHERY,KALAMA CR    11.0017,Fall,2,1983-1986,1069
KENDALL CR   01.0406,NOOK,DEADHORSE CR POND,DEADHORSE CR 01.0495,Spring,1,1988-1988,50
KENDALL CR   01.0406,NOOK,KENDALL CR HATCHERY,BOYD CR REARING POND,Spring,1,1989-1989,312
KENDALL CR   01.0406,NOOK,KENDALL CR HATCHERY,DEADHORSE CR 01.0495,Spring,2,1992-1993,461
KENDALL CR   01.0406,NOOK,KENDALL CR HATCHERY,KENDALL CR   01.0406,Fall,3,1971-1975,5584
KENDALL CR   01.0406,NOOK,KENDALL CR HATCHERY,KENDALL CR   01.0406,Spring,9,1982-1993,3919
