"Year","StockName","SeriesLabel","Values"
2022,"Skeena","GSI Esc",24724
1975,"Kitsumkalum","Esc",NA
1976,"Kitsumkalum","Esc",NA
1977,"Kitsumkalum","Esc",NA
1978,"Kitsumkalum","Esc",NA
1979,"Kitsumkalum","Esc",NA
1980,"Kitsumkalum","Esc",NA
1981,"Kitsumkalum","Esc",NA
1982,"Kitsumkalum","Esc",NA
1983,"Kitsumkalum","Esc",NA
1984,"Kitsumkalum","Esc",9569
1985,"Kitsumkalum","Esc",9081.0087890625
1986,"Kitsumkalum","Esc",8080.55322265625
1987,"Kitsumkalum","Esc",15549.013671875
1988,"Kitsumkalum","Esc",15853
1989,"Kitsumkalum","Esc",17822.767578125
1990,"Kitsumkalum","Esc",11118.9462890625
1991,"Kitsumkalum","Esc",9267.21484375
1992,"Kitsumkalum","Esc",10879.5078125
1993,"Kitsumkalum","Esc",13181.0537109375
1994,"Kitsumkalum","Esc",14003.2958984375
1995,"Kitsumkalum","Esc",6514.6318359375
1996,"Kitsumkalum","Esc",8594.546875
1997,"Kitsumkalum","Esc",4675.111328125
1998,"Kitsumkalum","Esc",6008.95556640625
1999,"Kitsumkalum","Esc",9034.9462890625
2000,"Kitsumkalum","Esc",10178.240234375
2001,"Kitsumkalum","Esc",17865.765625
2002,"Kitsumkalum","Esc",11219.654296875
2003,"Kitsumkalum","Esc",17524.69140625
2004,"Kitsumkalum","Esc",19664.087890625
2005,"Kitsumkalum","Esc",11381.6435546875
2006,"Kitsumkalum","Esc",8396.0751953125
2007,"Kitsumkalum","Esc",11739.1328125
2008,"Kitsumkalum","Esc",6903.1826171875
2009,"Kitsumkalum","Esc",8349.7841796875
2010,"Kitsumkalum","Esc",8932.287109375
2011,"Kitsumkalum","Esc",6755.4599609375
2012,"Kitsumkalum","Esc",6290.65234375
2013,"Kitsumkalum","Esc",11355.9365234375
2014,"Kitsumkalum","Esc",10042.36328125
2015,"Kitsumkalum","Esc",14904.5048828125
2016,"Kitsumkalum","Esc",9537.8564453125
2017,"Kitsumkalum","Esc",4131.8486328125
2018,"Kitsumkalum","Esc",9549.578125
2019,"Kitsumkalum","Esc",6673.3349609375
2020,"Kitsumkalum","Esc",4777
2021,"Kitsumkalum","Esc",4032
2022,"Kitsumkalum","Esc",5649
1975,"Wannock","Esc",3000
1976,"Wannock","Esc",1500
1977,"Wannock","Esc",1400
1978,"Wannock","Esc",2000
1979,"Wannock","Esc",2000
1980,"Wannock","Esc",2000
1981,"Wannock","Esc",3000
1982,"Wannock","Esc",750
1983,"Wannock","Esc",1750
1984,"Wannock","Esc",750
1985,"Wannock","Esc",1300
1986,"Wannock","Esc",7000
1987,"Wannock","Esc",4500
1988,"Wannock","Esc",4000
1989,"Wannock","Esc",3000
1990,"Wannock","Esc",3500
1991,"Wannock","Esc",2000
1992,"Wannock","Esc",7500
1993,"Wannock","Esc",8000
1994,"Wannock","Esc",3500
1995,"Wannock","Esc",3000
1996,"Wannock","Esc",2500
1997,"Wannock","Esc",4000
1998,"Wannock","Esc",3500
1999,"Wannock","Esc",500
2000,"Wannock","Esc",4500
2001,"Wannock","Esc",3000
2002,"Wannock","Esc",2800
2003,"Wannock","Esc",1000
2004,"Wannock","Esc",3000
2005,"Wannock","Esc",4500
2006,"Wannock","Esc",3000
2007,"Wannock","Esc",4500
2008,"Wannock","Esc",5000
2009,"Wannock","Esc",3800
2010,"Wannock","Esc",4000
2011,"Wannock","Esc",4200
2012,"Wannock","Esc",3800
2013,"Wannock","Esc",4000
2014,"Wannock","Esc",3743
2015,"Wannock","Esc",5054
2016,"Wannock","Esc",3603
2017,"Wannock","Esc",3171
2018,"Wannock","Esc",3160
2019,"Wannock","Esc",3061
2020,"Wannock","Esc",3596
2021,"Wannock","Esc",3087
2022,"Wannock","Esc",3136
1975,"Chuckwalla + Killbella","Esc",150
1976,"Chuckwalla + Killbella","Esc",100
1977,"Chuckwalla + Killbella","Esc",550
1978,"Chuckwalla + Killbella","Esc",500
1979,"Chuckwalla + Killbella","Esc",50
1980,"Chuckwalla + Killbella","Esc",NA
1981,"Chuckwalla + Killbella","Esc",100
1982,"Chuckwalla + Killbella","Esc",950
1983,"Chuckwalla + Killbella","Esc",1400
1984,"Chuckwalla + Killbella","Esc",575
1985,"Chuckwalla + Killbella","Esc",340
1986,"Chuckwalla + Killbella","Esc",175
1987,"Chuckwalla + Killbella","Esc",700
1988,"Chuckwalla + Killbella","Esc",375
1989,"Chuckwalla + Killbella","Esc",48
1990,"Chuckwalla + Killbella","Esc",120
1991,"Chuckwalla + Killbella","Esc",125
1992,"Chuckwalla + Killbella","Esc",550
1993,"Chuckwalla + Killbella","Esc",375
1994,"Chuckwalla + Killbella","Esc",300
1995,"Chuckwalla + Killbella","Esc",100
1996,"Chuckwalla + Killbella","Esc",500
1997,"Chuckwalla + Killbella","Esc",920
1998,"Chuckwalla + Killbella","Esc",1780
1999,"Chuckwalla + Killbella","Esc",2163
2000,"Chuckwalla + Killbella","Esc",2130
2001,"Chuckwalla + Killbella","Esc",1998
2002,"Chuckwalla + Killbella","Esc",2200
2003,"Chuckwalla + Killbella","Esc",900
2004,"Chuckwalla + Killbella","Esc",950
2005,"Chuckwalla + Killbella","Esc",1085
2006,"Chuckwalla + Killbella","Esc",930
2007,"Chuckwalla + Killbella","Esc",500
2008,"Chuckwalla + Killbella","Esc",530
2009,"Chuckwalla + Killbella","Esc",550
2010,"Chuckwalla + Killbella","Esc",225
2011,"Chuckwalla + Killbella","Esc",200
2012,"Chuckwalla + Killbella","Esc",342
2013,"Chuckwalla + Killbella","Esc",672
2014,"Chuckwalla + Killbella","Esc",450
2015,"Chuckwalla + Killbella","Esc",274
2016,"Chuckwalla + Killbella","Esc",622
2017,"Chuckwalla + Killbella","Esc",267
2018,"Chuckwalla + Killbella","Esc",802
2019,"Chuckwalla + Killbella","Esc",795
2020,"Chuckwalla + Killbella","Esc",831
2021,"Chuckwalla + Killbella","Esc",797
2022,"Chuckwalla + Killbella","Esc",800
1975,"Atnarko Wild","Calib. Wild Adult Esc",NA
1975,"Atnarko Wild","MR Wild Adult Esc",NA
1976,"Atnarko Wild","Calib. Wild Adult Esc",NA
1976,"Atnarko Wild","MR Wild Adult Esc",NA
1977,"Atnarko Wild","Calib. Wild Adult Esc",NA
1977,"Atnarko Wild","MR Wild Adult Esc",NA
1978,"Atnarko Wild","Calib. Wild Adult Esc",NA
1978,"Atnarko Wild","MR Wild Adult Esc",NA
1979,"Atnarko Wild","Calib. Wild Adult Esc",NA
1979,"Atnarko Wild","MR Wild Adult Esc",NA
1980,"Atnarko Wild","Calib. Wild Adult Esc",NA
1980,"Atnarko Wild","MR Wild Adult Esc",NA
1981,"Atnarko Wild","Calib. Wild Adult Esc",NA
1981,"Atnarko Wild","MR Wild Adult Esc",NA
1982,"Atnarko Wild","Calib. Wild Adult Esc",NA
1982,"Atnarko Wild","MR Wild Adult Esc",NA
1983,"Atnarko Wild","Calib. Wild Adult Esc",NA
